day,trt,n,mean,median,iqr,sd,se,ci
10,C,8,3250549,3305514,460653,565483,199929,472756
10,N,8,3010921,3037032,402814,549395,194240,459306
10,LL,8,2812562,2822238,146001,181164,64051,151457
10,LH,8,3247806,3002445,688808,639140,225970,534334
10,HL,8,2491661,2577006,1462534,1157645,409289,967816
10,HH,8,1381248,882559,2410419,1601377,566172,1338784
11,C,8,3367797,3198620,434232,726585,256887,607440
11,N,8,2054201,1758774,1032131,947920,335140,792481
11,LL,8,2261040,2442163,435721,779599,275630,651761
11,LH,8,2239680,2322728,740037,928359,328225,776128
11,HL,8,2517934,2648896,712565,593998,210010,496595
11,HH,8,1549644,1532288,2507031,1577434,557707,1318767